-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8377721310 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8456003666 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.3757553101 ,
-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8377721310 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8456003666 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.3757553101 ,
-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8377721310 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8456003666 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.3757553101 ,
-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8377721310 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8456003666 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.3757553101 ,
-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8377721310 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8456003666 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.3757553101 ,
-4 : 0.0000000000 ,-3 : 0.0000000000 ,-2 : 666.8377721310 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.8456003666 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.3757553101 ,
-2 : 666.9051094055 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.9129762650 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.4317770004 ,7 : 0.0000000000 ,8 : 0.0000000000 ,
-2 : 666.9051094055 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.9129762650 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.4317770004 ,7 : 0.0000000000 ,8 : 0.0000000000 ,
-2 : 666.9051094055 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.9129762650 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.4317770004 ,7 : 0.0000000000 ,8 : 0.0000000000 ,
-2 : 666.9051094055 ,-1 : 0.0000000000 ,0 : 0.0000000000 ,1 : 0.0000000000 ,2 : 666.9129762650 ,3 : 0.0000000000 ,4 : 0.0000000000 ,5 : 0.0000000000 ,6 : 666.4317770004 ,7 : 0.0000000000 ,8 : 0.0000000000 ,
